Nr.,Unternehmen,StandortNr,Adresse,Ort,volladresse
54,Ackermann Fahrzeugbau,1,Vohwinkeler Str. 87-93,Vohwinkel,"Vohwinkeler Str. 87, Vohwinkel, Deutschland"
55,Jack Adams,1,Heckinghauser Str. 75,Barmen,"Heckinghauser Str. 75, Barmen, Deutschland"
56,Dr. Albert Alteköster vorm. „Almag AG“,1,Buchenhofener Str. 1,Sonnborn,"Buchenhofener Str. 1, Vohwinkel, Deutschland"
57,G. & R. Alvermann,1,Heckinghauser Str. 43 A,Barmen,"Heckinghauser Str. 43 A, Barmen, Deutschland"
58,Georg Arends,1,Monschaustr. 74 A,Ronsdorf,"Monschaustr. 74 A, Ronsdorf, Deutschland"
59,Ludwig Attin,1,Wasserstraße 15,Barmen,"Wasserstraße 15, Barmen, Deutschland"
60,Oswald Attin,1,Warndstraße 4,Barmen,"Warndtstraße 4, Barmen, Deutschland"
61,Autohaus GmbH,1,Leimbacherstr. 85-87,Barmen,"Leimbacherstr. 85, Barmen, Deutschland"
62,J. L. Bacon,1,Hofaue 4,Elberfeld,"Hofaue 4, Elberfeld, Deutschland"
63,Carl Beier,1,Oberheidter Str. 67,Cronenberg,"Oberheidter Str. 67, Cronenberg, Deutschland"
64,Bangert & Co. „Klinker- und Ziegelwerk Uhlenbruch“,1,Uhlenbruch 4,Nächstebreck,"Uhlenbruch 4, Nächstebreck, Deutschland"
65,Barmer Maschinenfabrik KG,1,Mohrenstr. 12-28,Barmen,"Mohrenstr. 12, Barmen, Deutschland"
66,Bastfaser GmbH,1,Auf der Bleiche 43,Barmen,"Auf der Bleiche 43, Barmen, Deutschland"
67,Carl Bauer,1,Solinger Str. 28,Cronenberg,"Solinger Str. 28, Cronenberg, Deutschland"
68,I.G. Farbenindustrie AG Werk Elberfeld,1,Friedrich-Ebert-Straße 217-333,Elberfeld,"Friedrich-Ebert-Straße 217, Elberfeld, Deutschland"
69,Karl Becker,1,Berghauser Str. 110-118,Cronenberg,"Berghauser Str. 110, Cronenberg, Deutschland"
70,Gebr. Becker,1,Gennebrecker Str. 8,Wichlinghausen,"Gennebrecker Str. 8, Wichlinghausen, Deutschland"
71,Ernst Beckmannshagen,1,Spitzenstr. 15,Langerfeld,"Spitzenstr. 15, Langerfeld, Deutschland"
72,Wilhelm Beiersmann,1,Regentenstr. 49,Langerfeld,"Regentenstr. 49, Langerfeld, Deutschland"
73,Belzer-Werk,1,Hastener Str. 4,Cronenberg,"Hastener Str. 4, Cronenberg, Deutschland"
74,J. P. Bemberg AG.,1,Oehder Str. 14-28,Barmen,"Öhder Str. 14, Wuppertal, Deutschland"
75,Bemetall-Werk GmbH,1,Thüringer Str. 9,Barmen,"Thüringer Str. 9, Wuppertal, Deutschland"
76,Kurt Berger,1,Neumarktstaße 25-27,Elberfeld,"Neumarktstraße 25, Elberfeld, Deutschland"
77,Hans Berger,1,Barmer Str. 34,Elberfeld,"Barmer Str. 34, Elberfeld, Deutschland"
78,Emil Berges,1,Oberbergische Str. 197,Barmen,"Oberbergische Str. 197, Barmen, Deutschland"
79,Bergische Gasmesserfabrik GmbH,1,Höfen 84 a,Barmen,"Höfen 84 a, Barmen, Deutschland"
80,Bergisches Kabelwerk,1,Wartburgstr. 118 a,Barmen,"Wartburgstr. 118 a, Barmen, Deutschland"
81,AGEB - Aktiengesellschaft für Bergwerksbedarf,1,Hirtenstr. 1-3,Elberfeld,"Hirtenstr. 1, Elberfeld, Deutschland"
82,Ferdinand Berns,1,Theishahnerstr. 112,Küllenhahn,"Theishahnerstr. 112, Küllenhahn, Deutschland"
83,Otto Berns,1,Cronenbergerstr. 325 a,Elberfeld,"Cronenbergerstr. 325 a, Elberfeld, Deutschland"
84,Robert Birkelbach GmbH,1,Friedrich-Ebert-Straße 123 d,Elberfeld,"Friedrich-Ebert-Straße 123 d, Elberfeld, Deutschland"
85,Birkenbeil & Schmidt,1,Viehhofstr. 115,Elberfeld,"Viehhofstr. 115, Elberfeld, Deutschland"
87,Gebrüder Birker,1,Heidestr. 39,Cronenberg,"Heidestr. 39, Cronenberg, Deutschland"
88,Fahrradwerke Bismarck A.G.,1,Ascheweg 7,Ronsdorf,nein
89,Block & Vaupel,1,Heckinghauser Str. 143 a,Barmen,"Heckinghauser Str. 143 a, Barmen, Deutschland"
90,C. Blumhardt,1,Vohwinkeler Str. 156-160,Vohwinkel,"Vohwinkeler Str. 156, Vohwinkel, Deutschland"
91,Bocklenberg & Motte (BOMORO),1,Schöne Aussicht 12,Ronsdorf,"Schöne Aussicht 12, Ronsdorf, Deutschland"
92,Carl Bocklenberg & Söhne (Cebor),1,Erbschlöerstr. 27,Ronsdorf,"Erbschlöerstr. 27, Ronsdorf, Deutschland"
93,Friedrich Bohne,1,Wittener Str. 19,Barmen,"Wittener Str. 19, Barmen, Deutschland"
94,Boltz KG,1,Friedrich-Ebert-Straße 103 a,Elberfeld,"Friedrich-Ebert-Straße 103 a, Elberfeld, Deutschland"
95,Bergisches Präge- und Ätzwerk Johannes Bornemann,1,Schwelmer Str. 27-31,Langerfeld,"Schwelmer Str. 27, Langerfeld, Deutschland"
96,Johann Brack,1,Friedrich-Ebert-Straße 143,Elberfeld,"Friedrich-Ebert-Straße 143, Elberfeld, Deutschland"
97,Carl Bremme KG,1,Albertstr. 22-24,Barmen,"Albertstr. 22, Barmen, Deutschland"
98,Hermann Bremer,1,Mühle 49-51,Ronsdorf,"Mühle 49, Ronsdorf, Deutschland"
99,Gebr. Brill,1,Friedrich-Engels-Allee 311,Barmen,"Friedrich-Engels-Allee 311, Barmen, Deutschland"
100,Friedrich Brockhaus,1,Bleichstraße 8,Elberfeld,"Bleichstraße 8, Elberfeld, Deutschland"
101,Carl Brose & Co.,1,Opphofer Str. 13-17,Elberfeld,"Opphofer Str. 13, Elberfeld, Deutschland"
102,Bruchhaus & Baltrusch,1,Friedrich-Ebert-Straße 398,Elberfeld,"Friedrich-Ebert-Straße 398, Elberfeld, Deutschland"
103,Arthur Brügger,1,Westkotter Str. 129,Barmen,"Westkotter Str. 129, Barmen, Deutschland"
104,Otto Budde & Co.,1,Meckelstr. 88,Barmen,"Meckelstr. 88, Barmen, Deutschland"
105,Gustav Busche GmbH.,1,Schwelmer Str. 122-128,Langerfeld,"Schwelmer Str. 122, Langerfeld, Deutschland"
106,Hermann Busche KG,1,Alfredstraße 5,Barmen,"Alfredstraße 5, Barmen, Deutschland"
107,Alfred vom Cleff,1,Hauptstr. 143-145,Cronenberg,"Hauptstr. 143, Cronenberg, Deutschland"
108,J. vom Cleff A. Sohn Schraubenfabrik,1,Kemmanstr. 83,Cronenberg,"Kemmannstr. 83, Cronenberg, Deutschland"
109,Erich Clerck,1,Hauptstr. 151,Cronenberg,"Hauptstr. 151, Cronenberg, Deutschland"
110,Cramer & Kromberg,1,Brausenwerther Str. 15,Elberfeld,"Brausenwerther Str. 15, Elberfeld, Deutschland"
111,Erich Cramer v. Clausbruch,1,Schönebeckerstr. 57,Barmen,"Schönebeckerstr. 57, Barmen, Deutschland"
112,Cronenberger Steinindustrie Franz Triches GmbH,1,Korzerter Straße 18,Cronenberg,"Korzerter Straße 18, Cronenberg, Deutschland"
113,Walter Cüppers,1,Beethovenstraße 3,Elberfeld,"Beethovenstraße 3, Elberfeld, Deutschland"
114,Daimler Benz AG,1,Tannenbergstr. 20-24,Elberfeld,"Tannenbergstr. 20, Elberfeld, Deutschland"
115,Auto Dausend,1,Friedrich-Engels-Allee 358,Barmen,"Friedrich-Engels-Allee 358, Barmen, Deutschland"
116,Ferdinand Deisel,1,Feldstr.,Barmen,"Feldstr., Barmen, Deutschland"
117,H. L. Dienst & Sohn,1,Moritzstraße 14,Elberfeld,"Moritzstraße 14, Elberfeld, Deutschland"
119,Heinrich Döppers,1,Hofaue 53a,Elberfeld,"Hofaue 53a, Elberfeld, Deutschland"
120,Gebr. Dörner,1,Kaiserstr. 126,Vohwinkel,"Kaiserstr. 126, Vohwinkel, Deutschland"
120,Gebr. Dörner,2,Möbecker Str. 4,Vohwinkel,"Möbecker Str. 4, Vohwinkel, Deutschland"
121,Ernst von Dreden,1,Simonsstraße 25 a,Elberfeld,"Simonsstraße 25 a, Elberfeld, Deutschland"
122,Dyckerhoff & Widmann KG [Baubüro Jägerwerke],1,Mettmannerstr. 79,Elberfeld,"Mettmannerstr. 79, Elberfeld, Deutschland"
123,Karl Egert,1,Meckelstr. 16 A,Barmen,"Meckelstr. 16 A, Barmen, Deutschland"
124,Ernst Eickhoff & Co.,1,Hünefeldstr. 84 a,Elberfeld,"Hünefeldstr. 84 a, Wuppertal, Deutschland"
125,Paul Eigenbrodt,1,Vor d. Beule 37-39,Wichlinghausen,"Vor d. Beule 37, Wichlinghausen, Deutschland"
126,Elberfelder Papierfabrik AG,1,Friedrich-Ebert-Straße 126-130,Elberfeld,"Friedrich-Ebert-Straße 126, Elberfeld, Deutschland"
127,Elberfelder Textilwerke AG,1,Friedrich-Ebert-Straße 154,Elberfeld,"Friedrich-Ebert-Straße 154, Elberfeld, Deutschland"
128,Epeda-Werke Rudolf Platte,1,Rembrandtstraße 14,Vohwinkel,"Rembrandtstraße 14, Vohwinkel, Deutschland"
129,Adolf Eppendahl,1,Schimmelsburg 23,Barmen,"Schimmelsburg 23, Barmen, Deutschland"
130,Julius & August Erbslöh,1,Berliner Str. 29-35,Barmen,"Berliner Str. 29, Barmen, Deutschland"
131,Rudolf Ernenputsch,1,Harzstraße 13,Cronenberg,"Harzstraße 13, Cronenberg, Deutschland"
132,Gottlob Espenlaub,1,Spitzenstr. 35,Langerfeld,"Spitzenstr. 35, Langerfeld, Deutschland"
132,Gottlob Espenlaub,2,In der Fleute 143a,Langerfeld,"In der Fleute 143a, Langerfeld, Deutschland"
132,Gottlob Espenlaub,3,Schwelmer Str. 225,Langerfeld,"Schwelmer Str. 225, Langerfeld, Deutschland"
133,Eduard Eylert,1,Steinbeck 66-74,Elberfeld,"Steinbeck 66, Elberfeld, Deutschland"
134,Eylert KG.,1,Unten vorm Steeg 138,Sonnborn,"Unten vorm Steeg 138, Sonnborn, Deutschland"
135,Ludwig Faber,1,Wiesenstr. 45,Elberfeld,"Wiesenstr. 45, Elberfeld, Deutschland"
136,Gustav Fach,1,Sedanstraße 88,Barmen,"Sedanstraße 88, Barmen, Deutschland"
137,Friedrich Feldhoff Sohn,1,Untere Lichtenplatzerstr. 24,Barmen,"Untere Lichtenplatzerstr. 24, Barmen, Deutschland"
138,August Fink,1,Marschallstr. 17,Vohwinkel,"Marschallstr. 17, Vohwinkel, Deutschland"
139,Walter Finkeldei,1,Berliner Str. 130 a,Barmen,"Berliner Str. 130 a, Barmen, Deutschland"
140,Wilhelm Eugen Fischer,1,Völklinger Str. 6 a,Barmen,"Völklinger Str. 6 a, Barmen, Deutschland"
141,Fischer & Schmidt,1,Westkotter Straße 16,Barmen,"Westkotter Straße 16, Barmen, Deutschland"
142,Gebr. Fleuss,1,Rhönstr. 8,Cronenberg,"Rhönstr. 8, Cronenberg, Deutschland"
143,M. Flues & Co.,1,Deutscher Ring 66,Sonnborn,"Deutscher Ring 66, Sonnborn, Deutschland"
144,Adolf Franke,1,Rhönstr. 6a,Cronenberg,"Rhönstr. 6a, Cronenberg, Deutschland"
145,Wilhelm Franke,1,Küllenhahner Str. 20,Küllenhahn,"Küllenhahner Str. 20, Küllenhahn, Deutschland"
146,Heinrich Frickenhaus,1,Kocherstraße 21-27,Ronsdorf,"Kocherstraße 21, Ronsdorf, Deutschland"
148,H. & L. Fritzsche,1,Wall 32,Elberfeld,"Wall 32, Elberfeld, Deutschland"
149,Frobana,1,Windhukstraße 80,Barmen,"Windhukstraße 80, Barmen, Deutschland"
150,Wilhelm Fröhling,1,Solinger Str. 35,Cronenberg,"Solinger Str. 35, Cronenberg, Deutschland"
151,Frölich & Klüpfel,1,Fuchsstr. 28,Barmen,"Fuchsstr. 28, Barmen, Deutschland"
152,Frowein & Co. AG,1,Uellendahler Str. 70-82,Elberfeld,"Uellendahler Str. 70, Elberfeld, Deutschland"
153,Kabelwerk Frowein,1,Märkische Str. 16,Barmen,"Märkische Str. 16, Barmen, Deutschland"
154,Gustav Fudickar,1,Rubensstr. 14,Vohwinkel,"Rubensstr. 14, Vohwinkel, Deutschland"
155,Theodor Fürer,1,Erichstraße 6,Barmen,"Erichstraße 6, Barmen, Deutschland"
156,Wilhelm Fürschbach,1,Lettow-Vorbeck-Straße 50,Vohwinkel,"Lettow-Vorbeck-Straße 50, Vohwinkel, Deutschland"
157,August Görts KG,1,Unterkirchen 23 a,Cronenberg,"Unterkirchen 23 a, Cronenberg, Deutschland"
158,Graef & Kunhenn,1,Oberbergische Str. 53,Barmen,"Oberbergische Str. 53, Barmen, Deutschland"
159,Josef Grundmann,1,Am Nordpark 17,Barmen,"Am Nordpark 17, Barmen, Deutschland"
160,C. Grundmann-Dresel,1,Stahlstraße 24,Barmen,"Stahlstraße 24, Barmen, Deutschland"
161,Heinrich Gutberlett,1,Bendahler Str. 106-108,Barmen,"Bendahler Str. 106, Barmen, Deutschland"
162,Gutehoffnungshütte AG Oberhausen [Dolomit-Steinbruch Lüntenbeck],1,Lüntenbeck 2c,Vohwinkel,"Lüntenbeck 2c, Vohwinkel, Deutschland"
165,Hagen & Wolff,1,Haspeler Str. 216,Barmen,"Haspeler Str. 216, Barmen, Deutschland"
166,Ferdinand von Hagen Söhne & Koch,1,Vohwinkeler Str. 97,Vohwinkel,"Vohwinkeler Str. 97, Vohwinkel, Deutschland"
167,Adolf & Otto Halbach,1,Holzer Straße 33,Elberfeld,"Holzer Straße 33, Elberfeld, Deutschland"
168,"Halbach, Braun & Co.",1,Blombacherbach 32,Barmen,"Blombacherbach 32, Barmen, Deutschland"
169,Ernst Halfmann,1,Höchsten 76,Elberfeld,"Höchsten 76, Elberfeld, Deutschland"
169,Ernst Halfmann,2,Wiesenstr. 67,Elberfeld,"Wiesenstr. 67, Elberfeld, Deutschland"
170,Gebr. Hallenscheid,1,Nibelungenstr. 15,Ronsdorf,"Nibelungenstr. 15, Ronsdorf, Deutschland"
171,Halstenbach & Co.,1,Liegnitzer Str. 50,Wichlinghausen,"Liegnitzer Str. 50, Wichlinghausen, Deutschland"
171,Halstenbach & Co.,2,Wichlinghauser Str. 85 a,Wichlinghausen,"Wichlinghauser Str. 85 a, Wichlinghausen, Deutschland"
171,Halstenbach & Co.,3,Rauental 28,Heckinghausen,"Rauental 28, Heckinghausen, Deutschland"
172,Hamba Hans A. Müller GmbH & Co. KG,1,Höhne 42,Barmen,"Höhne 42, Barmen, Deutschland"
173,Gebr. Happich GmbH,1,Neuenteich 64-76,Elberfeld,"Neuenteich 64, Elberfeld, Deutschland"
174,Albert Hasselkus,1,Bandwirkerstr. 29,Ronsdorf,"Bandwirkerstr. 29, Ronsdorf, Deutschland"
176,"Hausschulte & Co. [ursprünglich: Gustav Hausschulte, Feilenhauerei]",1,Hohenstein 22,Barmen,"Hohenstein 22, Barmen, Deutschland"
177,Hein & Co. KG,1,Zum Krusen 1,Cronenberg,"Zum Krusen 1, Cronenberg, Deutschland"
178,Heinen & Co.,1,Wittener Straße 53,Barmen,"Wittener Straße 53, Barmen, Deutschland"
179,Sebastian Helmstädter,1,Alter Markt 619-621,Barmen,"Alter Markt 619, Barmen, Deutschland"
180,August Helsper,1,Harzstraße 8,Cronenberg,"Harzstraße 8, Cronenberg, Deutschland"
181,Carl Helsper,1,Nöllenhammer Straße 13 a,Cronenberg,"Nöllenhammerweg 13 a, Cronenberg, Deutschland"
182,Hermann Hemscheidt,1,Bornberg 97-103,Elberfeld,"Bornberg 97, Elberfeld, Deutschland"
183,Otto Henrich,1,Schorfer Str. 10,Cronenberg,"Schorfer Str. 10, Cronenberg, Deutschland"
185,Richard Herberholz K.G.,1,Emil-Rittershaus-Straße 5-5 a,Barmen,"Emil-Rittershaus-Straße 5, Barmen, Deutschland"
186,Dr. Kurt Herberts & Co.,1,Christbusch 25,Barmen,"Christbusch 25, Barmen, Deutschland"
187,Wilhelm Hermes KG,1,Beule 8 b,Wichlinghausen,"Beule 8 b, Wichlinghausen, Deutschland"
188,Alois Hesse,1,Treppenstr. 16,Elberfeld,"Treppenstr. 16, Elberfeld, Deutschland"
189,Otto Heyer,1,Hesselnberg 97-97a,Barmen,"Hesselnberg 97, Barmen, Deutschland"
190,Gebr. Hilgeland,1,Im Rehsiepen 33-35,Ronsdorf,"Im Rehsiepen 33, Ronsdorf, Deutschland"
191,Dr. Fritz Hillringhaus,1,Rauental 51-59,Oberbarmen,"Rauental 51, Barmen, Deutschland"
192,Hindrichs-Auffermann A.G.,1,Heckinghauser Str. 118-120,Barmen,"Heckinghauser Str. 118, Barmen, Deutschland"
193,Dr. Hans Höring,1,Viehhofstr. 33 A,Elberfeld,"Viehhofstr. 33 A, Elberfeld, Deutschland"
194,Hogarten & Co. KG,1,Nibelungenstr. 67,Ronsdorf,"Nibelungenstr. 67, Ronsdorf, Deutschland"
195,Homann-Werke Wilhelm Homann,1,Scheffelstr. 37,Vohwinkel,"Scheffelstr. 37, Vohwinkel, Deutschland"
196,J. & A. Homberg,1,Zur Scheuren 24-30,Barmen,"Zur Scheuren 24, Barmen, Deutschland"
197,Wilhelm Hoppe,1,Tunnelstr. 28,Barmen,"Tunnelstr. 28, Barmen, Deutschland"
198,Josef Hora,1,Langerfelder Str. 80,Barmen,"Langerfelder Str. 80, Barmen, Deutschland"
199,Ewald Hölschen,1,Uellendahler Str. 240,Elberfeld,"Uellendahler Str. 240, Elberfeld, Deutschland"
200,Hugo Hösterey,1,Sudberger Str. 49,Cronenberg,"Sudberger Str. 49, Cronenberg, Deutschland"
201,Hortmann & Fomm (HOFO),1,Goldlackstr. 30,Ronsdorf,"Goldlackstr. 30, Ronsdorf, Deutschland"
202,Hotel zur Post,1,Poststraße 4,Elberfeld,"Poststraße 4, Elberfeld, Deutschland"
203,Walter Hufstadt,1,Hahnerbergerstraße 30-32,Elberfeld,"Hahnerbergerstraße 30, Elberfeld, Deutschland"
204,Gebrüder Hülstrunk,1,Obergrünewalder Str. 12a,Elberfeld,"Obergrünewalder Str. 12a, Elberfeld, Deutschland"
205,"Hüsecken, Holzrichter & Co.",1,Am Eckstein 15,Barmen,"Am Eckstein 15, Barmen, Deutschland"
206,Schlaraffia-Werke Hüser & Co. KG,1,Kreuzstr. 29-31,Wichlinghausen,"Kreuzstr. 29, Wichlinghausen, Deutschland"
207,Arthur Huppertsberg KG,1,Hagenauer Straße 30-32,Elberfeld,"Hagenauer Straße 30, Elberfeld, Deutschland"
208,Imo-Großdruckerei Carl H. Vollmer,1,Kleiner Werth 46,Barmen,"Kleiner Werth 46, Barmen, Deutschland"
209,Ingenia [Ludwig Böddecker & A. Neiman],1,Wiescherstraße 11-13,Wichlinghausen,"Wiescherstraße 11, Wichlinghausen, Deutschland"
210,Gebr. Itter,1,Theishahner Straße 45 a,Küllenhahn,"Theishahner Straße 45 a, Küllenhahn, Deutschland"
211,Gebr. Jacobi GmbH,1,Nietzschestr. 25,Vohwinkel,"Nietzschestr. 25, Vohwinkel, Deutschland"
212,G. & J. Jaeger GmbH,1,Mettmanner Str. 79-99,Elberfeld,"Mettmanner Str. 79, Elberfeld, Deutschland"
213,Theodor Janning,1,Kohlstraße 92,Elberfeld,"Kohlstraße 92, Elberfeld, Deutschland"
214,Leo Janssen,1,Viehhofstraße 112,Elberfeld,"Viehhofstraße 112, Elberfeld, Deutschland"
215,Gebr. Jeude,1,Küllenhahner Str. 27,Küllenhahn,"Küllenhahner Str. 27, Küllenhahn, Deutschland"
216,Wilhelm Jöcker,1,Kemmanstr. 70,Cronenberg,"Kemmannstr. 70, Cronenberg, Deutschland"
217,Fritz Joel,1,Loher Str. 8,Barmen,"Loher Str. 8, Barmen, Deutschland"
218,C. + P. Joest,1,Winchenbachstr. 88,Barmen,"Winchenbachstr. 88, Barmen, Deutschland"
219,August Jung Söhne,1,Rauer Werth 7a,Barmen,"Rauer Werth 7a, Barmen, Deutschland"
220,P. Hermann Jung,1,Küllenhahner Str. 29,Küllenhahn,"Küllenhahner Str. 29, Küllenhahn, Deutschland"
221,Werner Jungmann,1,Heckinghauser Str. 102-106,Barmen,"Heckinghauser Str. 102, Barmen, Deutschland"
222,Kabel- und Drahtwerk AG (an anderer Stelle: Kabel- und Gummiwerk AG),1,Vohwinkeler Str. 71-83,Vohwinkel,"Vohwinkeler Str. 71, Vohwinkel, Deutschland"
223,"Wwe, Peter Kampermann",1,In der Ossenbeck 3,Elberfeld,"In der Ossenbeck 3, Elberfeld, Deutschland"
224,Käseberg & Co. KG,1,Linderhauser Str. 42 a,Barmen,"Linderhauser Str. 42 a, Barmen, Deutschland"
225,Fritz Karthaus,1,Loher Str. 29 a,Barmen,"Loher Str. 29 a, Barmen, Deutschland"
226,J. C. E.Kaufmann,1,Vohwinkeler Str. 161,Vohwinkel,"Vohwinkeler Str. 161, Vohwinkel, Deutschland"
228,Gebr. Kehrenberg,1,Eintrachtstraße 29-31,Barmen,"Eintrachtstraße 29, Barmen, Deutschland"
229,Wilhelm Keil,1,Hastener Str. 14,Cronenberg,"Hastener Str. 14, Cronenberg, Deutschland"
230,Ewald Kellermann,1,Ritterstr. 68-70,Barmen,"Ritterstr. 68, Barmen, Deutschland"
231,Peter Kikuth,1,Gosenburg 47,Barmen,"Gosenburg 47, Barmen, Deutschland"
232,Gustav Kipper sen.,1,Buscherhofer Straße 1,Cronenberg,"Buscherhofer Straße 1, Cronenberg, Deutschland"
233,Kirberg & Co.,1,Friesenstr. 1,Elberfeld,"Friesenstr. 1, Elberfeld, Deutschland"
234,Julius Klärner jun.,1,Schulweg 51,Cronenberg,"Schulweg 51, Cronenberg, Deutschland"
235,Klein & Jonas,1,Auf der Bleiche 30,Barmen,"Auf der Bleiche 30, Barmen, Deutschland"
236,Klüser & Co.,1,Friedrich-Ebert-Straße 44,Elberfeld,"Friedrich-Ebert-Straße 44, Elberfeld, Deutschland"
237,Hermann Kluge,1,Wuppermannstr. 23-27,Barmen,"Wuppermannstr. 23, Barmen, Deutschland"
238,A. Knappstein & Co. KG,1,Veilchenstraße 27,Barmen,"Veilchenstraße 27, Barmen, Deutschland"
239,Heinrich Koch Söhne,1,Nassaustr. 21,Barmen,"Nassaustr. 21, Wuppertal, Deutschland"
240,Köhler & Bovenkamp,1,Hatzfelder Str. 115,Barmen,"Hatzfelder Str. 115, Barmen, Deutschland"
241,Herbert Kölker,1,Friedrich-Ebert-Straße 101,Elberfeld,"Friedrich-Ebert-Straße 101, Elberfeld, Deutschland"
242,Christoph Köppel,1,Oberdörnen 101,Barmen,"Oberdörnen 101, Barmen, Deutschland"
243,Wilhelm Körting,1,Siegesstraße 90a,Barmen,"Siegesstraße 90a, Barmen, Deutschland"
244,Otto Kötter GmbH,1,Unterdörnen 11-17,Barmen,"Unterdörnen 11, Barmen, Deutschland"
244,Otto Kötter GmbH,2,Oberdörnen 8,Barmen,"Oberdörnen 8, Barmen, Deutschland"
245,Kolb & Co.,1,Rathenaustraße 23,Barmen,"Rathenaustraße 23, Barmen, Deutschland"
246,Kolk & Co.,1,Kaiserstraße 29,Vohwinkel,"Kaiserstraße 29, Vohwinkel, Deutschland"
247,Alfred Koll,1,Holenscheidter Str. 57,Hahnerberg,"Hohlenscheidter Str. 57, Hahnerberg, Deutschland"
248,J. A. Koster & Co. [=Köster & Adolphs (?)],1,Wittener Str. 121,Barmen,"Wittener Str. 121, Barmen, Deutschland"
249,Daniel Kremendahl,1,Kohlfurther Str. 22,Cronenberg,"Kohlfurther Str. 22, Cronenberg, Deutschland"
250,Robert Kremer,1,Hahnerbergerstraße 72a,Küllenhahn,"Hahnerbergerstraße 72a, Küllenhahn, Deutschland"
251,"Kremer, Sondermann & Cie.",1,Herichhauser Str. 57,Cronenberg,"Herichhauser Str. 57, Cronenberg, Deutschland"
252,Emil Krenzler,1,Fuchsstraße und Sanderstraße,Barmen,"Fuchsstraße und Sanderstraße, Barmen, Deutschland"
253,Wilhelm Kreusch,1,Rheinstraße 57,Elberfeld,"Rheinstraße 57, Elberfeld, Deutschland"
254,Kriegsgefangenenverrechnungsstelle,1,Friedrich-Engels-Allee 324,Barmen,"Friedrich-Engels-Allee 324, Barmen, Deutschland"
255,Kromberg & Schubert (Kroschu),1,Spitzenstr. 37,Langerfeld,"Spitzenstr. 37, Langerfeld, Deutschland"
256,Wilhelm Krüger,1,Siegesstraße 108,Barmen,"Siegesstraße 108, Barmen, Deutschland"
257,"Fried. Krupp AG Essen, Zweigwerk „Dreherei Wuppertal“ / „Widia Wuppertal“",1,Clausenstraße 39,Barmen,"Clausenstraße 39, Barmen, Deutschland"
258,Kruse & Söhne,1,Ritterstr. 54-56,Barmen,"Ritterstr. 54, Barmen, Deutschland"
259,Kunstdarm GmbH,1,Bendahler Str. 70-72,Barmen,"Bendahler Str. 70, Barmen, Deutschland"
260,Kuntze & Söhne,1,Theishahner Str. 25,Cronenberg,"Theishahner Str. 25, Cronenberg, Deutschland"
261,Lagergemeinschaft Opphof,1,Opphofer Straße,Elberfeld,"Opphofer Straße, Elberfeld, Deutschland"
262,"„Lago“ – Landeslieferungsgenossenschaft des Sattler-, Tapezierer- und Polsterhandwerks",1,Königsbergerstr. 1-17,Barmen,"Königsbergerstr. 1, Barmen, Deutschland"
263,D. La Porte Söhne,1,Wartburgstr. 21,Barmen,"Wartburgstr. 21, Barmen, Deutschland"
264,Walter Lehnemann,1,Auf der Bleiche 9,Barmen,"Auf der Bleiche 9, Barmen, Deutschland"
265,Leimbacher Hütte Hollweg & Co.,1,Leimbacher Str. 83,Barmen,"Leimbacher Str. 83, Barmen, Deutschland"
266,Siegfried Leithäuser,1,Hofaue 47-49,Elberfeld,"Hofaue 47, Elberfeld, Deutschland"
267,Carl Lenzner,1,Sanderstraße 30,Barmen,"Sanderstraße 30, Barmen, Deutschland"
268,J. Leonhards Söhne,1,Im Kirschsiepen 20,Vohwinkel,"Im Kirschsiepen 20, Vohwinkel, Deutschland"
269,Limbach & Bonert KG [„Linde’sches Eiswerk“],1,Hünefeldstr. 1-19,Barmen,"Hünefeldstr. 1, Barmen, Deutschland"
270,Emil Linde,1,Carnaperstr. 126,Barmen,"Carnaperstr. 126, Barmen, Deutschland"
271,Johann Linnenbürger,1,Marktstr. 11,Ronsdorf,"Marktstr. 11, Wuppertal-Ronsdorf, Deutschland"
