Nr.,Unternehmen,StandortNr,Adresse,Ort,volladresse
272,Wilhelm Lörken,1,Clausenstraße 35-37,Barmen,"Clausenstraße 35, Barmen, Deutschland"
273,August Lohe,1,Friedrich-Engels-Allee 118,Barmen,"Friedrich-Engels-Allee 118, Barmen, Deutschland"
274,Reinhold Lohe,1,Kohlfurther Brücke 14-16,Cronenberg,"Kohlfurther Brücke 14, Cronenberg, Deutschland"
275,Lohmann & Stuhlmann,1,Oberkamperstr. 22A,Cronenberg,"Oberkamperstr. 22A, Cronenberg, Deutschland"
276,Alba Werke Adolf Lübbertsmeier A.G.,1,Sternstraße 19-21,Barmen,"Sternstraße 19, Barmen, Deutschland"
277,Peter August Lückenhaus,1,Hatzfelder Str. 14 ,Barmen,"Hatzfelder Str. 14 , Barmen, Deutschland"
277,Peter August Lückenhaus,2,Buchenstr. 58,Barmen,"Buchenstr. 58, Barmen, Deutschland"
278,Ewald Luft,1,Mirker Straße 45,Elberfeld,"Mirker Straße 45, Elberfeld, Deutschland"
279,August Luhn & Co. GmbH,1,Schwarzbach 91-103,Barmen,"Schwarzbach 91, Barmen, Deutschland"
280,Lusbrink & Schwebinghaus,1,Monschaustr. 27,Ronsdorf,"Monschaustr. 27, Ronsdorf, Deutschland"
281,J. Machwürth,1,Kaiserstr. 195,Vohwinkel,"Kaiserstr. 195, Vohwinkel, Deutschland"
282,Karl Mäueler Barmer Eisen- und Blechwarenfabrik — Verzinkerei,1,Alarichstr. 22,Barmen,"Alarichstr. 22, Barmen, Deutschland"
283,J. Mai & Co. mbH,1,Varresbecker Str. 135a,Elberfeld,"Varresbecker Str. 135a, Elberfeld, Deutschland"
284,Friedrich Marcus,1,Echoerstr. 25,Ronsdorf,"Echoerstr. 25, Ronsdorf, Deutschland"
285,Matthes & Weber AG,1,Auf dem Dorp,Elberfeld,"Auf dem Dorp, Elberfeld, Deutschland"
286,Matthey & Lenz,1,Liegnitzer Straße 47,Barmen,"Liegnitzer Straße 47, Barmen, Deutschland"
287,August Meckenstock,1,Ferdinand Schrey Str.,Elberfeld,"Ferdinand Schrey Str., Elberfeld, Deutschland"
287,August Meckenstock,2,Kieselstr. 44,Elberfeld,"Kieselstr. 44, Elberfeld, Deutschland"
287,August Meckenstock,3,Hospitalstr. 24,Elberfeld,"Hospitalstr. 24, Elberfeld, Deutschland"
288,Melchior & Jörgens,1,Wittener Str. 37 A,Barmen,"Wittener Str. 37 A, Barmen, Deutschland"
289,Autohaus Merkur,1,Werther Brücke 11,Barmen,"Werther Brücke 11, Barmen, Deutschland"
290,Metzenauer & Jung,1,Charlottenstr. 88,Elberfeld,"Charlottenstr. 88, Elberfeld, Deutschland"
291,Werner Michel,1,Rheinstr. 21,Elberfeld,"Rheinstr. 21, Elberfeld, Deutschland"
292,Michels Brotfabrik,1,Forststraße 4,Ronsdorf,"Forststraße 4, Ronsdorf, Deutschland"
293,Heinrich Misselke,1,Grifflenberg 153,Elberfeld,"Grifflenberg 153, Elberfeld, Deutschland"
294,Mittelsten-Schee & Co.,1,Ackerstr. 12,Barmen,"Ackerstr. 12, Barmen, Deutschland"
295,Gebrüder Möbers,1,Neue Friedrichstr. 40,Elberfeld,"Neue Friedrichstr. 40, Elberfeld, Deutschland"
296,Theodor Möhle,1,Neuenteich 93,Elberfeld,"Neuenteich 93, Elberfeld, Deutschland"
297,Mülder [Inhaber: Bruno Holl],1,Friedrich-Ebert-Straße 99-101,Elberfeld,"Friedrich-Ebert-Straße 99, Elberfeld, Deutschland"
298,Simon Möller,1,Berliner Straße 202 a,Barmen,"Berliner Straße 202 a, Barmen, Deutschland"
299,Mollerus Waschanstalt GmbH,1,Winchenbachstr. 18-20,Barmen,"Winchenbachstr. 18, Barmen, Deutschland"
300,Hans Moog [=Deutsches Leucht- u. Signalmittelwerk Dr. Feistel KG],1,Flügel 1,Ronsdorf,"Flügel 1, Ronsdorf, Deutschland"
301,Maschinenfabrik Mühleissen,1,Industriestr. 31,Sonnborn,"Industriestr. 31, Sonnborn, Deutschland"
302,Fritz Müller,1,Haßlinghauser Str. 102,Barmen,"Haßlinghauser Str. 102, Barmen, Deutschland"
303,Wilhelm Müller,1,Simonsstraße 13,Elberfeld,"Simonsstraße 13, Elberfeld, Deutschland"
304,Müller & Neumann,1,Rott 20,Barmen,"Rott 20, Barmen, Deutschland"
305,Gebr. Müssigbrodt,1,Simonsstraße 59,Elberfeld,"Simonsstraße 59, Elberfeld, Deutschland"
306,Erich Naumann,1,Weißenburgstr. 15,Elberfeld,"Weißenburgstr. 15, Elberfeld, Deutschland"
307,Neuhaus & Sohn,1,Hatzfelder Str. 12-14,Barmen,"Hatzfelder Str. 12, Barmen, Deutschland"
308,Werner Neumann,1,Peterstr. 8 A,Barmen,"Peterstr. 8 A, Barmen, Deutschland"
309,Alfred Nolte „Hotel zum Römer“,1,Kipdorf 77,Elberfeld,"Kipdorf 77, Elberfeld, Deutschland"
310,Arthur Nolzen,1,Scheidstraße 13,Ronsdorf,"Scheidtstraße 13, Ronsdorf, Deutschland"
311,Willi Nouvortne,1,Hofkamp 48-56,Elberfeld,"Hofkamp 48, Elberfeld, Deutschland"
313,Gustav Ohlig,1,Kölner Straße 96,Elberfeld,"Kölner Straße 96, Elberfeld, Deutschland"
314,W. & M. Ostermann,1,Gewerbeschulstr. 92-94,Barmen,"Gewerbeschulstr. 92, Barmen, Deutschland"
314,W. & M. Ostermann,2,Germanenstr. 4,Barmen,"Germanenstr. 4, Barmen, Deutschland"
315,Walter Osthoff,1,Kiesbergstr. 25,Elberfeld,"Kiesbergstr. 25, Elberfeld, Deutschland"
316,Wilhelm Paashaus „Mechanische Weberei Barmen“,1,Schützenstr. 25,Barmen,"Schützenstr. 25, Barmen, Deutschland"
317,Gebr. Pandel,1,Küllenhahner Str. 33 b,Küllenhahn,"Küllenhahner Str. 33 b, Küllenhahn, Deutschland"
318,Abraham & Alex Pandel,1,Küllenhahner Str. 42,Küllenhahn,"Küllenhahner Str. 42, Küllenhahn, Deutschland"
319,Wilhelm Pandel Werkzeugfabrik,1,Nöllenhammerstraße 31,Cronenberg,"Nöllenhammerweg 31, Cronenberg, Deutschland"
320,Friedrich Pass,1,Küllenhahner Str. 48,Küllenhahn,"Küllenhahner Str. 48, Küllenhahn, Deutschland"
321,Wilhelm Pass,1,Küllenhahner Str. 52,Küllenhahn,"Küllenhahner Str. 52, Küllenhahn, Deutschland"
322,Paulmann & Kellermann,1,Klophausstraße 25,Elberfeld,"Klophausstraße 25, Elberfeld, Deutschland"
323,Paul Petzel (ehem. August Petzel),1,Olgastr. 8,Barmen,"Olgastr. 8, Barmen, Deutschland"
324,Pfenning-Schumacher-Werke,1,Alarichstr. 18,Barmen,"Alarichstr. 18, Barmen, Deutschland"
325,Otto Pferdehirt,1,Leonhardstr. 28,Barmen,"Leonhardstr. 28, Barmen, Deutschland"
326,Joh. Hermann Picard,1,Rottsiepen 15,Cronenberg,"Rottsiepen 15, Cronenberg, Deutschland"
327,Albert Pickshaus,1,Kaiserstr. 8,Vohwinkel,"Kaiserstr. 8, Vohwinkel, Deutschland"
328,Rudolf Piel & Söhne,1,Klotzbahn 30,Elberfeld,"Klotzbahn 30, Elberfeld, Deutschland"
329,Walter Pieper,1,Windstr. 7-11,Elberfeld,"Windstr. 7, Elberfeld, Deutschland"
330,August Pistor,1,Hahnerberger Str. 229,Hahnerberg,"Hahnerberger Str. 229, Hahnerberg, Deutschland"
331,Friedrich Pötz,1,Küllenhahnerstraße 25,Küllenhahn,"Küllenhahnerstraße 25, Küllenhahn, Deutschland"
332,Ernst Pott GmbH,1,Schönebecker Str. 27a,Barmen,"Schönebecker Str. 27a, Barmen, Deutschland"
333,Paul Prause,1,Norrenberg Str. 28,Barmen,"Norrenberg Str. 28, Barmen, Deutschland"
334,Presta-Metallwerk GmbH,1,Lantert 5,Elberfeld,"Lantert 5, Elberfeld, Deutschland"
335,Prinz & Kremer,1,Borner Str. 30,Cronenberg,"Borner Str. 30, Cronenberg, Deutschland"
336,Protex-Gesellschaft — Berger & Wever,1,Hauptstraße 88,Cronenberg,"Hauptstraße 88, Cronenberg, Deutschland"
337,Knipex - C. Gustav Putsch,1,Oberkamper Str. 13,Cronenberg,"Oberkamper Str. 13, Cronenberg, Deutschland"
338,Emil Putsch & Co. KG,1,Arrenberger Str. 35-37,Elberfeld,"Arrenberger Str. 35, Elberfeld, Deutschland"
339,Ernst Quambusch,1,Friedrich-Engels-Allee 87,Barmen,"Friedrich-Engels-Allee 87, Barmen, Deutschland"
340,"Wilhelmswerk, Inh. Wilhelm Quante",1,Vohwinkeler Str. 154,Vohwinkel,"Vohwinkeler Str. 154, Vohwinkel, Deutschland"
341,Wilhelm Quante,1,Vohwinkeler Str. 154,Vohwinkel,"Uellendahler Str. 353, Wuppertal, Deutschland"
342,"Gustav Rafflenbeul, Schwelm [=Hansa-Werk und Raffawerk Gustav Rafflenbeul]",1,Oststraße 32,Wichlinghausen,"Oststraße 32, Wichlinghausen, Deutschland"
342,"Gustav Rafflenbeul, Schwelm [=Hansa-Werk und Raffawerk Gustav Rafflenbeul]",2,Oberdörnen 72,Barmen,"Oberdörnen 72, Barmen, Deutschland"
343,Rahm & Kampmann,1,Wolkenburg 16,Elberfeld,"Wolkenburg 16, Elberfeld, Deutschland"
344,Eugen Rauhaus,1,Cronenfelder Str. 25-25a,Cronenberg,"Cronenfelder Str. 25, Cronenberg, Deutschland"
345,Rudolf Rautenbach GmbH [Zweigwerk Wuppertal-Barmen],1,Winchenbachstr. 21,Barmen,"Winchenbachstr. 21, Barmen, Deutschland"
347,Reichmann & Co.,1,Bendahlerstr. 30,Barmen,"Bendahlerstr. 30, Barmen, Deutschland"
347,Reichmann & Co.,2,Hubert-Pfeiffer-Str. 2,Barmen,"Hubert-Pfeiffer-Str. 2, Barmen, Deutschland"
348,Kabelwerk Reinshagen,1,Dickestr. 23,Ronsdorf,"Dickestr. 23, Ronsdorf, Deutschland"
349,P. FE. Reinshagen,1,Bredde 4,Barmen,"Bredde 4, Barmen, Deutschland"
350,Otto Reinshagen,1,Dörpfeldstr. 49-51,Ronsdorf,"Dörpfeldstr. 49, Ronsdorf, Deutschland"
351,Wilhelm Reising,1,Gewerbeschulstr. 101,Barmen,"Gewerbeschulstr. 101, Barmen, Deutschland"
351,Wilhelm Reising,2,Heidter Berg 30 a,Heckinghausen,"Heidter Berg 30 a, Heckinghausen, Deutschland"
352,E. u. W. Reitz,1,Langerfelder Str. 129 c,Langerfeld,"Langerfelder Str. 129 c, Langerfeld, Deutschland"
353,Rheinische Möbelstoffweberei vorm. Dahl & Hunsche AG,1,Hünefeldstr. 59,Barmen,"Hünefeldstr. 59, Barmen, Deutschland"
354,Rheinische Textilfabriken AG,1,Friedrich-Ebert-Straße 138-140,Elberfeld,"Friedrich-Ebert-Straße 138, Elberfeld, Deutschland"
356,Rheinisch-Westfälische Schuhwaren,1,Neumarktstaße 46,Elberfeld,"Neumarktstraße 46, Elberfeld, Deutschland"
357,Rhenus,1,Friedrich-Ebert-Straße 149a,Elberfeld,"Friedrich-Ebert-Straße 149a, Elberfeld, Deutschland"
358,Rittershaus & Blecher,1,Friedrich-Engels-Allee 192,Barmen,"Friedrich-Engels-Allee 192, Barmen, Deutschland"
359,Heinrich Röttger,1,Kölner Str. 88,Elberfeld,"Kölner Str. 88, Elberfeld, Deutschland"
360,Rosenkranz & Co.,1,Am Diek 97 a,Barmen,"Am Diek 97 a, Barmen, Deutschland"
361,H. & G. Rüger,1,Schwarzbach 148,Barmen,"Schwarzbach 148, Barmen, Deutschland"
362,E.W. Runge,1,Friedrich-Ebert-Straße 83,Elberfeld,"Friedrich-Ebert-Straße 83, Elberfeld, Deutschland"
363,G. H. Sachsenröder,1,Friedrich-Engels-Allee 125-127,Barmen,"Friedrich-Engels-Allee 125, Barmen, Deutschland"
363a,G. H. Sachsenröder,1,Friedrich-Engels-Allee 357,Barmen,"Friedrich-Engels-Allee 357, Barmen, Deutschland"
364,Sander & Hohmann,1,Friedrich-Engels-Allee 374-376,Barmen,"Friedrich-Engels-Allee 374, Barmen, Deutschland"
365,C. August Sandkühler,1,Winchenbachstr. 23,Barmen,"Winchenbachstr. 23, Barmen, Deutschland"
366,A. Sartorius,1,Fuchsstraße 39,Barmen,"Fuchsstraße 39, Barmen, Deutschland"
367,Fritz Sauerwald,1,Oststraße 41,Wichlinghausen,"Oststraße 41, Wichlinghausen, Deutschland"
368,Karl & Eugen Schäfer,1,Meckelstraße 23,Barmen,"Meckelstraße 23, Barmen, Deutschland"
369,Schaeffer-Homberg GmbH,1,Schützenstr. 23,Barmen,"Schützenstr. 23, Barmen, Deutschland"
370,Fritz Scheibler,1,Friedrich-Ebert-Straße 187,Elberfeld,"Friedrich-Ebert-Straße 187, Elberfeld, Deutschland"
371,Vohwinkler Eisenwerk Heinrich Schirp,1,Bissingstr. 5,Vohwinkel,"Bissingstr. 5, Vohwinkel, Deutschland"
372,Hermann Schlenkermann,1,Straße der Alten Garde 104 (Werth),Barmen,"Straße der Alten Garde 104 (Werth), Barmen, Deutschland"
373,Schlieper & Laag GmbH,1,Buchenhofener Str. 49,Vohwinkel,"Buchenhofener Str. 49, Vohwinkel, Deutschland"
374,J. Schlipkötter,1,Nützenberger Str. 398 a,Elberfeld,"Nützenberger Str. 398 a, Elberfeld, Deutschland"
375,Werner Schlüter,1,Breslauer Str. 62,Barmen,"Breslauer Str. 62, Barmen, Deutschland"
376,F. A. Schmahl junior,1,Oberheidt 21,Cronenberg,"Oberheidt 21, Cronenberg, Deutschland"
377,Schmahl & Schulz,1,Klingelholl 108-110,Barmen,"Klingelholl 108, Barmen, Deutschland"
378,Karl Schmalz junior,1,Auf der Bleiche 5,Barmen,"Auf der Bleiche 5, Barmen, Deutschland"
379,Hans Schmeken,1,Boltenheide 5,Vohwinkel,"Boltenheide 5, Vohwinkel, Deutschland"
380,Gebr. Schmidt,1,[Gräfrather Str. 104-106??],Vohwinkel,"[Gräfrather Str. 104-106??], Vohwinkel, Deutschland"
381,Peter Ludwig Schmidt „Werkzeugkönig“,1,Neuenteich 85-89,,"Vereinstraße 14, Elberfeld, Deutschland"
382,Schmidt & Co.,1,Briefstraße 17-23 a,Elberfeld,"Briefstraße 17, Elberfeld, Deutschland"
383,Schmitt & Co. KG,1,Wiescherstr. 13,Barmen,"Wiescherstr. 13, Barmen, Deutschland"
384,Dr. Schmitz & Apelt,1,Clausewitzstr. 82-84,Langerfeld,"Clausewitzstr. 82, Langerfeld, Deutschland"
385,August Schnakenberg & Co.°,1,Beyenburger Str. 164,Barmen,"Beyenburger Str. 164, Barmen, Deutschland"
386,Otto Schnicks,1,Dammstr. 16,Elberfeld,"Dammstr. 16, Elberfeld, Deutschland"
387,Franz Schönberg,1,Goetheplatz 2,Vohwinkel,"Goetheplatz 2, Vohwinkel, Deutschland"
388,Schomburg & Graf,1,Höfen 58,Barmen,"Höfen 58, Barmen, Deutschland"
389,Rudolf Schröder,1,Bornberg 47-53,Elberfeld,"Bornberg 47, Elberfeld, Deutschland"
390,Friedrich Schubert,1,Neuenhofer Straße 36,Cronenberg,"Neuenhofer Straße 36, Cronenberg, Deutschland"
391,Joh. Wilh. Schürmann,1,Buchenstr. 21-21b,Barmen,"Buchenstr. 21, Barmen, Deutschland"
392,Wilhelm Schuh,1,Hünefeldstr. 10,Barmen,"Hünefeldstr. 10, Barmen, Deutschland"
393,Schuhmacherinnung Wuppertal,1,Melanchthonstr. 25,Barmen,"Melanchthonstr. 25, Barmen, Deutschland"
395,Peter Schumacher,1,Gustavstraße 12,Vohwinkel,"Gustavstraße 12, Vohwinkel, Deutschland"
396,Otto Schumann — Barackenbau,1,"Nevigeser Str. 15, später: Eskesberg 6",Elberfeld,"Nevigeser Str. 15, Wuppertal, Deutschland"
397,Erich Schulte,1,Langerfelder Str. 100 a,Barmen,"Langerfelder Str. 100 a, Barmen, Deutschland"
398,Heinrich Schulte Inh. A. Hofmann,1,Friedrich-Ebert-Straße 153-155,Elberfeld,"Friedrich-Ebert-Straße 153, Elberfeld, Deutschland"
399,Gebrüder Schutte,1,Reichsstraße 45,Barmen,"Reichsstraße 45, Barmen, Deutschland"
400,Hubert Schwedt,1,Laurentiusstraße 33,Elberfeld,"Laurentiusstraße 33, Elberfeld, Deutschland"
401,Schwerdt & Co.,1,Auf der Bleiche 30,Barmen,"Auf der Bleiche 30, Barmen, Deutschland"
402,Gebr. Sievers KG.,1,Friedrich-Engels-Allee 192,Barmen,"Friedrich-Engels-Allee 192, Barmen, Deutschland"
403,Siller & Jamart,1,Zum Alten Zollhaus 24,Barmen,"Zum Alten Zollhaus 24, Barmen, Deutschland"
404,Wilhelm Soennecken,1,Blombacherbach 12,Barmen,"Blombacherbach 12, Barmen, Deutschland"
405,Gebrüder Sonntag,1,Luisenstraße 94,Elberfeld,"Luisenstraße 94, Elberfeld, Deutschland"
406,Wilhelm Sopp,1,Wupperstr. 35,Elberfeld,"Wupperstr. 35, Elberfeld, Deutschland"
407,Specht Elektrizitätsgesellschaft,1,Schwanenstr. 33,Elberfeld,"Schwanenstr. 33, Elberfeld, Deutschland"
408,Carl Speer & Co.,1,Weidenstr. 24,Elberfeld,"Weidenstr. 24, Elberfeld, Deutschland"
409,H. Spelleken Nachf. KG,1,Rheinische Straße 14,Barmen,"Rheinische Straße 14, Barmen, Deutschland"
410,Ewald Speth,1,Nordstr. 27,Elberfeld,"Nordstr. 27, Elberfeld, Deutschland"
411,Artur Spiecker,1,Sadowastr. 19,Elberfeld,"Sadowastr. 19, Elberfeld, Deutschland"
412,Paul Spieker,1,Schlössersgasse 4,Elberfeld,"Schlössersgasse 4, Elberfeld, Deutschland"
413,Hermann Spier,1,Viehhofstr. 120,Elberfeld,"Viehhofstr. 120, Elberfeld, Deutschland"
414,Stadthallen Gaststätte [Inhaber: W. Evers],1,Johannisberg,Elberfeld,"Johannisberg, Elberfeld, Deutschland"
415,Rudolf Staehely,1,Linderhauser Str. 32c,Nächstebreck,"Linderhauser Str. 32c, Nächstebreck, Deutschland"
416,Wilhelm Steeger GmbH,1,Bahnstr. 47,Vohwinkel,"Bahnstr. 47, Vohwinkel, Deutschland"
417,Gebrüder vom Stein,1,An den Friedhöfen 15,Ronsdorf,"An den Friedhöfen 15, Ronsdorf, Deutschland"
418,Otto von den Steinen,1,Kuchhausen 102,Cronenberg,"Kuchhausen 102, Cronenberg, Deutschland"
419,Steinhoff & Co. KG,1,Schwarzbach 70-72 a,Barmen,"Schwarzbach 70, Barmen, Deutschland"
420,Fritz Steller,1,Wittener Str. 73,Nächstebreck,"Wittener Str. 73, Nächstebreck, Deutschland"
421,Wilhelm Stichtmann,1,Schönebecker Str.145a,Barmen,"Schönebecker Str.145a, Barmen, Deutschland"
422,Walter Stock & Sohn,1,Untere Lichtenplatzerstraße 10 a,Barmen,"Untere Lichtenplatzerstraße 10 a, Barmen, Deutschland"
423,Stocko,1,Kirchhofstraße 52 a,Sonnborn,"Kirchhofstraße 52 a, Sonnborn, Deutschland"
425,Carl Straßmann,1,Reichsstraße 1,Barmen,"Reichsstraße 1, Barmen, Deutschland"
426,Striebeck & Dierichs,1,Germanenstr. 35-37,Barmen,"Germanenstr. 35, Barmen, Deutschland"
427,Svensson & Kuhler,1,Simonsstr. 1a-3a,Elberfeld,"Simonsstr. 1A, Elberfeld, Deutschland"
428,Carl Aug. Tesche,1,Teschensudberg 6,Cronenberg,"Teschensudberg 6, Cronenberg, Deutschland"
429,Textilfaser KG M. E. Korff,1,Heckinghauser Str. 263-265,Barmen,"Heckinghauser Str. 263, Barmen, Deutschland"
430,Ernst Thielenhaus,1,Rudolfstraße 2-4,Barmen,"Rudolfstraße 2, Barmen, Deutschland"
431,Maschinenfabrik Tienes,1,Löhrerlen 117 b,Wichlinghausen,"Löhrerlen 117 b, Wuppertal, Deutschland"
432,Lebrecht Tigges,1,Kemmanstr. 26,Cronenberg,"Kemmannstr. 26, Wuppertal-Cronenberg, Deutschland"
433,Lebrecht Töllner,1,Eich 1,Cronenberg,"Eich 1, Cronenberg, Deutschland"
434,Adolf Toenges,1,Vereinstraße 17a,Elberfeld,"Vereinstraße 17a, Elberfeld, Deutschland"
435,Tornax GmbH,1,Schwelmer Straße 100-108,Langerfeld,"Schwelmer Straße 100, Langerfeld, Deutschland"
436,Trierer Walzwerk AG,1,Schwelmer Straße 156,Wuppertal-Langerfeld,"Schwelmer Straße 156, Wuppertal-Langerfeld, Deutschland"
437,"Turmhof Gaststätte [Inhaber Karl Siebenlist, Teilhaber Mathilde Labriola und G. Labriola Erben]",1,Turmhof 2,Elberfeld,"Turmhof 2, Elberfeld, Deutschland"
438,Vereinigte Glanzstoff-Fabriken A.G.,1,Auer-Schulstraße 14-16,Elberfeld,"Auer-Schulstraße 14, Elberfeld, Deutschland"
439,Vereinigung Wuppertaler Kohlenhändler,1,Kölner Str. 94,Elberfeld,"Kölner Str. 94, Elberfeld, Deutschland"
440,Paul Vetter Maschinen KG,1,Wittener Straße 31 a,Barmen,"Wittener Straße 31 a, Barmen, Deutschland"
441,„Vauco“ Lederwarenfabrik Viehoff & Co.,1,Wichlinghauser Str. 47a,Barmen,"Wichlinghauser Str. 47a, Barmen, Deutschland"
442,Visser & Co.,1,Funckstraße o. Nr.,Elberfeld,"Funckstraße o. Nr., Elberfeld, Deutschland"
443,Friedrich Vohwinkel,1,Im Ostersiepen 1,Elberfeld,"Im Ostersiepen 1, Elberfeld, Deutschland"
444,Wilhelm Vonzumhoff,1,Gutenbergstr. 38,Elberfeld,"Gutenbergstr. 38, Elberfeld, Deutschland"
445,Rudolf Wilhelm Vornhagen,1,Kronprinzenallee 76,Elberfeld,"Kronprinzenallee 76, Elberfeld, Deutschland"
446,Vorsteher & Bünger,1,Wichlinghauser Str. 38-40,Barmen,"Wichlinghauser Str. 38, Barmen, Deutschland"
447,Vorwerk & Co.,1,Mühlenweg 23-25,Barmen,"Mühlenweg 23, Barmen, Deutschland"
448,Vorwerk & Sohn,1,Obere Lichtenplatzer Str. 336,Barmen,"Obere Lichtenplatzer Str. 336, Barmen, Deutschland"
448.1,Vorwerk & Sohn [nur Gummiwerk],1,Obere Lichtenplatzer Str. 336,Barmen,"Obere Lichtenplatzer Str. 336, Barmen, Deutschland"
449,Wachs & Asmann,1,Westkotterstr. 46-48,Barmen,"Westkotterstr. 46, Barmen, Deutschland"
450,Wagener & Co.,1,Händelstr. 51-53,Cronenberg,"Händelerstr. 51, Cronenberg, Deutschland"
451,Martin Wagner,1,Küllenhahner Str. 23,Küllenhahn,"Küllenhahner Str. 23, Küllenhahn, Deutschland"
452,Wagner & Co.,1,Lenneper Str. 130-130a,Langerfeld,"Lenneper Str. 130, Langerfeld, Deutschland"
453,Kabelwerk Wagner KG (zuvor: Joachimsmeyer & Wagner),1,Wittener Str. 239,Nächstebreck,"Wittener Str. 239, Nächstebreck, Deutschland"
454,Alfred Wahl,1,Kaiserstr. 195,Vohwinkel,"Kaiserstr. 195, Vohwinkel, Deutschland"
455,Peter Wallbrecher,1,Hauptstr. 67,Cronenberg,"Hauptstr. 67, Cronenberg, Deutschland"
456,Bernhard Wassenberg Nachf.,1,Wernerstr. 2,Barmen,"Wernerstr. 2, Barmen, Deutschland"
457,Karl Watermann,1,Schützenstr. 92,Barmen,"Schützenstr. 92, Barmen, Deutschland"
459,Fritz Weeren,1,Rauental 72,Barmen,"Rauental 72, Barmen, Deutschland"
460,Paul Weissenborn,1,Am Dausenbusch 8,Barmen,"Am Dausendbusch 8, Barmen, Deutschland"
461,Carl Werner,1,Norrenbergerstr. 12 a,Barmen,"Norrenbergstr. 12 a, Barmen, Deutschland"
462,Gebr. Wichartz,1,Wichlinghauserstr. 16-16a,Barmen,"Wichlinghauserstr. 16, Barmen, Deutschland"
463,Wicküler Küpper Brauerei,1,Bendahlerstr. 31,Elberfeld,"Bendahlerstr. 31, Elberfeld, Deutschland"
464,Wiedenhoff & Wirtz,1,Kratzkopfstr. 32,Ronsdorf,"Kratzkopfstr. 32, Ronsdorf, Deutschland"
465,Eduard Wille,1,Lindenallee 27,Cronenberg,"Lindenallee 27, Cronenberg, Deutschland"
466,Johann Wimmer,1,Carnaper Str. 107,Barmen,"Carnaper Str. 107, Barmen, Deutschland"
467,Emil Windgassen,1,Am Stadtbahnhof 6,Ronsdorf,"Am Stadtbahnhof 6, Ronsdorf, Deutschland"
468,Gebr. Winkelsträter (auch: Winkelsträter & Sure),1,Breslauer Str. 59,Barmen,"Breslauer Str. 59, Barmen, Deutschland"
469,Witte & Co.,1,Christbusch 6,Barmen,"Christbusch 6, Barmen, Deutschland"
470,[Kraftwagengesellschaft] Dr. Wittenstein,1,Friedrich-Engels-Allee 245,Barmen,"Friedrich-Engels-Allee 245, Barmen, Deutschland"
471,G. Wittenstein-Troost GmbH,1,Friedrich-Engels-Allee 229,Barmen,"Friedrich-Engels-Allee 229, Barmen, Deutschland"
472,E.O. Wöhler & Co.,1,Warndstraße 4-12,Barmen,"Warndtstraße 4, Barmen, Deutschland"
473,Wörder & Pandel,1,Nöllenhammer Str. 19,Küllenhahn,"Nöllenhammerweg 19, Küllenhahn, Deutschland"
474,August Wortmann,1,Rheinische Straße 25,Barmen,"Rheinische Straße 25, Barmen, Deutschland"
475,August Wülfing & Sohn,1,Breslauer Str. ,Wichlinghausen,"Breslauer Str., Wuppertal, Deutschland"
476,Hermann Wülfing,1,Kaiserstraße 90,Vohwinkel,"Kaiserstraße 90, Vohwinkel, Deutschland"
477,Wuppermetall GmbH,1,Beckacker Schulstr. 35a,Oberbarmen,"Beckacker Schulstr. 35a, Oberbarmen, Deutschland"
478,Hugo Wippermann,1,Beule 20,Wichlinghausen,"Beule 20, Wichlinghausen, Deutschland"
479,Ed. Zimmermann & Bauer,1,Uellendahler Str. 160,Elberfeld,"Uellendahler Str. 160, Elberfeld, Deutschland"
480,W. Zimmerstädt,1,Holzer Straße 5,Elberfeld,"Holzer Straße 5, Elberfeld, Deutschland"
481,"Robert Zinn, Engels & Co.",1,Lenneper Str. 35,Barmen,"Lenneper Str. 35, Barmen, Deutschland"
482,Alfred Zwanzig,1,"Wichlinghauser Str. 138 a,b",Barmen,"Wichlinghauser Str. 138, Barmen, Deutschland"
